Estación
                                : PUERTO MALDONADO
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°35'14.28'',Longitud :,69°12'31.68'',Altitud :,209 msnm.
Tipo :,EMA - Meteorológica,Código :,112279
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/10/01,00:00,24.6,0.0,87,S/D,0.0
2025/10/01,01:00,24.6,0.0,88,S/D,0.0
2025/10/01,02:00,24.6,0.0,88,S/D,0.0
2025/10/01,03:00,24.3,0.0,88,S/D,0.0
2025/10/01,04:00,24.3,0.0,88,S/D,0.0
2025/10/01,05:00,24.2,0.0,89,S/D,0.0
2025/10/01,06:00,24.0,0.0,89,S/D,0.0
2025/10/01,07:00,24.3,0.0,90,34.4,0.0
2025/10/01,08:00,27.0,0.0,88,S/D,0.0
2025/10/01,09:00,29.3,0.0,80,S/D,0.0
2025/10/01,10:00,31.2,0.0,72,S/D,0.0
2025/10/01,11:00,31.1,1.0,70,S/D,0.0
2025/10/01,12:00,31.9,0.0,69,S/D,0.0
2025/10/01,13:00,31.5,0.0,65,S/D,0.0
2025/10/01,14:00,27.7,0.0,74,S/D,0.0
2025/10/01,15:00,28.7,0.0,74,S/D,0.0
2025/10/01,16:00,29.8,0.0,74,S/D,0.0
2025/10/01,17:00,30.8,0.0,71,S/D,0.0
2025/10/01,18:00,29.3,0.0,73,S/D,0.0
2025/10/01,19:00,27.6,0.0,77,S/D,0.0
2025/10/01,20:00,27.6,0.0,78,S/D,0.0
2025/10/01,21:00,26.9,0.0,80,S/D,0.0
2025/10/01,22:00,25.4,0.0,83,S/D,0.0
2025/10/01,23:00,24.1,0.0,84,S/D,0.0
2025/10/02,00:00,23.6,0.0,85,S/D,0.0
2025/10/02,01:00,23.3,0.0,86,S/D,0.0
2025/10/02,02:00,23.0,0.0,87,S/D,0.0
2025/10/02,03:00,23.0,0.0,86,S/D,0.0
2025/10/02,04:00,22.7,0.0,86,S/D,0.0
2025/10/02,05:00,22.3,0.0,86,S/D,0.0
2025/10/02,06:00,21.9,0.0,87,S/D,0.0
2025/10/02,07:00,22.0,0.0,87,S/D,0.0
2025/10/02,08:00,22.0,0.2,87,S/D,0.0
2025/10/02,09:00,22.0,0.2,88,S/D,0.0
2025/10/02,10:00,22.3,0.0,88,S/D,0.0
2025/10/02,11:00,22.7,0.2,87,S/D,0.0
2025/10/02,12:00,23.3,0.1,86,S/D,0.0
2025/10/02,13:00,23.7,0.0,86,S/D,0.0
2025/10/02,14:00,24.2,0.0,83,S/D,0.0
2025/10/02,15:00,23.5,0.0,84,S/D,0.0
2025/10/02,16:00,23.0,0.0,86,S/D,0.0
2025/10/02,17:00,22.9,0.0,86,S/D,0.0
2025/10/02,18:00,22.7,0.0,87,S/D,0.0
2025/10/02,19:00,22.5,0.0,87,S/D,0.0
2025/10/02,20:00,22.1,0.0,88,S/D,0.0
2025/10/02,21:00,21.5,0.0,88,S/D,0.0
2025/10/02,22:00,21.5,0.0,89,.2,0.0
2025/10/02,23:00,21.4,0.0,89,S/D,0.0
2025/10/03,00:00,21.3,0.0,90,S/D,0.0
2025/10/03,01:00,21.2,0.0,90,12.9,0.0
2025/10/03,02:00,20.9,0.0,91,S/D,0.0
2025/10/03,03:00,20.8,0.0,91,16.7,0.0
2025/10/03,04:00,20.8,0.0,91,26,0.0
2025/10/03,05:00,20.7,0.0,92,19,0.0
2025/10/03,06:00,20.8,0.0,92,23.2,0.2
2025/10/03,07:00,21.7,0.0,92,28.2,0.2
2025/10/03,08:00,23.1,0.0,90,24,0.2
2025/10/03,09:00,24.9,0.0,87,S/D,0.0
2025/10/03,10:00,26.0,0.0,84,S/D,0.0
2025/10/03,11:00,27.5,0.0,78,S/D,0.0
2025/10/03,12:00,28.6,0.0,73,S/D,0.0
2025/10/03,13:00,29.3,0.0,70,S/D,0.0
2025/10/03,14:00,30.3,0.0,66,S/D,0.0
2025/10/03,15:00,31.1,0.0,63,S/D,0.0
2025/10/03,16:00,31.5,0.0,61,S/D,0.0
2025/10/03,17:00,30.7,0.0,64,S/D,0.0
