Estación
                                : PUERTO MALDONADO
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°35'14.28'',Longitud :,69°12'31.68'',Altitud :,209 msnm.
Tipo :,EMA - Meteorológica,Código :,112279
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/04/01,00:00,23.2,0.0,98,9.6,0.9
2025/04/01,01:00,23.3,0.0,98,9.3,0.8
2025/04/01,02:00,23.3,0.0,97,17.1,0.7
2025/04/01,03:00,23.0,0.0,98,18.1,0.8
2025/04/01,04:00,22.8,0.0,98,20.3,0.4
2025/04/01,05:00,22.9,0.0,98,4.3,0.5
2025/04/01,06:00,23.0,0.0,98,3.2,0.4
2025/04/01,07:00,23.3,0.0,98,4,0.7
2025/04/01,08:00,24.6,0.0,96,3.8,0.9
2025/04/01,09:00,25.7,0.0,89,5.6,1.1
2025/04/01,10:00,26.4,0.0,87,1.5,1.0
2025/04/01,11:00,27.5,0.0,85,1.8,0.9
2025/04/01,12:00,28.3,0.0,83,5.3,0.5
2025/04/01,13:00,29.7,0.0,78,7.4,0.8
2025/04/01,14:00,30.7,0.0,75,7.9,1.0
2025/04/01,15:00,30.3,0.0,76,9.1,1.6
2025/04/01,16:00,29.1,0.2,77,13,1.9
2025/04/01,17:00,22.8,2.7,89,11.3,2.9
2025/04/01,18:00,21.9,1.7,93,10.1,2.6
2025/04/01,19:00,21.4,0.2,94,11.4,1.8
2025/04/01,20:00,21.0,0.0,93,13.1,1.3
2025/04/01,21:00,21.1,0.0,91,10.9,1.4
2025/04/01,22:00,20.8,0.4,91,11,1.4
2025/04/01,23:00,20.4,2.8,94,11,0.9
2025/04/02,00:00,20.3,1.2,94,13.5,0.7
2025/04/02,01:00,20.2,0.1,95,11.7,0.9
2025/04/02,02:00,20.2,0.0,94,10.7,1.3
2025/04/02,03:00,20.2,0.0,93,11.4,0.8
2025/04/02,04:00,20.1,0.0,93,14,0.8
2025/04/02,05:00,20.1,0.2,93,14.4,0.7
2025/04/02,06:00,20.0,0.0,94,16.8,1.2
