Estación
                                : PUERTO MALDONADO
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°35'14.28'',Longitud :,69°12'31.68'',Altitud :,209 msnm.
Tipo :,EMA - Meteorológica,Código :,112279
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/03/01,00:00,24.1,0.0,96,0,0.2
2025/03/01,01:00,24.2,0.0,95,2.8,0.8
2025/03/01,02:00,24.0,0.0,95,32,0.2
2025/03/01,03:00,23.8,0.0,96,32.6,0.4
2025/03/01,04:00,23.7,0.0,96,29.2,0.5
2025/03/01,05:00,23.6,0.0,95,29.8,0.3
2025/03/01,06:00,23.3,0.0,95,31.9,1.0
2025/03/01,07:00,23.6,0.0,96,35.8,0.1
2025/03/01,08:00,24.1,0.0,94,4.1,1.2
2025/03/01,09:00,25.1,0.0,92,1.4,0.9
2025/03/01,10:00,26.2,0.0,88,35.2,0.7
2025/03/01,11:00,26.9,1.0,84,33.1,1.1
2025/03/01,12:00,24.9,4.4,92,3.4,1.1
2025/03/01,13:00,24.3,1.0,93,2.8,1.8
2025/03/01,14:00,24.0,1.2,93,21.7,0.5
2025/03/01,15:00,24.5,0.0,92,27.3,0.8
2025/03/01,16:00,24.6,0.0,92,28.4,0.9
2025/03/01,17:00,24.9,0.0,91,27.8,0.8
2025/03/01,18:00,24.7,0.0,92,34.5,0.2
2025/03/01,19:00,24.1,0.0,95,25.8,0.0
2025/03/01,20:00,23.9,0.0,96,14.7,0.3
2025/03/01,21:00,23.7,S/D,S/D,S/D,S/D
2025/03/01,22:00,23.5,0.0,97,6.9,0.9
2025/03/01,23:00,23.6,0.0,97,7.2,0.8
2025/03/02,00:00,23.5,0.0,97,19.3,0.1
2025/03/02,01:00,23.5,0.0,97,32.2,0.3
2025/03/02,02:00,23.4,0.0,97,34.5,0.5
2025/03/02,03:00,23.4,0.0,98,17.6,0.1
2025/03/02,04:00,23.4,0.0,98,17.9,0.0
2025/03/02,05:00,23.4,0.0,98,34.5,0.0
2025/03/02,06:00,23.3,0.0,97,32.3,0.1
2025/03/02,07:00,23.5,0.0,98,28.2,0.1
2025/03/02,08:00,24.5,0.0,95,20.2,1.0
2025/03/02,09:00,25.5,0.0,90,21.8,1.4
2025/03/02,10:00,27.0,0.0,85,21.4,0.8
2025/03/02,11:00,27.8,0.0,83,17.5,0.2
2025/03/02,12:00,29.1,0.0,80,32.5,0.4
2025/03/02,13:00,27.0,3.8,87,33.5,1.3
2025/03/02,14:00,26.1,0.0,88,25.3,0.7
2025/03/02,15:00,26.5,0.0,88,31.5,0.8
2025/03/02,16:00,26.7,0.0,88,30.4,1.3
2025/03/02,17:00,27.0,0.0,87,31.6,0.6
2025/03/02,18:00,26.3,0.0,89,28.2,0.8
2025/03/02,19:00,25.4,0.0,91,30.6,1.2
2025/03/02,20:00,24.9,0.0,93,32.3,0.4
2025/03/02,21:00,24.6,0.0,94,34.3,0.2
2025/03/02,22:00,24.2,S/D,95,S/D,S/D
2025/03/02,23:00,24.2,0.0,95,1.7,0.5
2025/03/03,00:00,24.1,0.0,95,S/D,0.0
2025/03/03,01:00,23.9,0.0,96,S/D,0.0
2025/03/03,02:00,23.7,0.0,97,S/D,0.0
2025/03/03,03:00,23.8,0.2,97,S/D,0.0
2025/03/03,04:00,23.8,1.2,97,S/D,0.0
2025/03/03,05:00,23.5,1.6,97,35.5,0.1
2025/03/03,06:00,23.4,0.7,97,S/D,0.0
2025/03/03,07:00,23.7,0.2,97,S/D,0.0
2025/03/03,08:00,24.9,0.0,94,S/D,0.0
2025/03/03,09:00,26.8,0.0,86,31.3,0.4
2025/03/03,10:00,28.5,0.0,80,32.5,0.2
2025/03/03,11:00,29.4,0.0,77,35.6,0.1
2025/03/03,12:00,29.2,0.0,78,33.2,0.6
2025/03/03,13:00,29.1,0.2,78,31.2,1.0
2025/03/03,14:00,30.7,0.0,73,31.9,1.1
2025/03/03,15:00,30.8,0.0,71,3.4,0.6
2025/03/03,16:00,28.0,0.0,82,4,2.2
2025/03/03,17:00,26.6,0.0,85,7,2.4
2025/03/03,18:00,26.1,0.0,87,9.4,2.1
2025/03/03,19:00,25.6,0.0,91,9.3,2.0
2025/03/03,20:00,25.4,0.0,93,9.5,1.7
2025/03/03,21:00,25.3,0.0,94,11.4,0.8
2025/03/03,22:00,25.1,0.0,94,14.3,0.9
2025/03/03,23:00,24.9,0.0,94,11.6,0.7
2025/03/04,00:00,24.7,0.0,94,10.8,1.1
2025/03/04,01:00,24.5,10.1,95,9.9,1.7
2025/03/04,02:00,24.4,0.1,96,8.4,0.7
