Estación
                                : PUERTO MALDONADO
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°35'14.28'',Longitud :,69°12'31.68'',Altitud :,209 msnm.
Tipo :,EMA - Meteorológica,Código :,112279
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/01/01,00:00,24.8,0.0,94,S/D,0.0
2025/01/01,01:00,24.6,0.0,95,34.6,0.3
2025/01/01,02:00,24.4,0.0,95,31.7,0.4
2025/01/01,03:00,24.4,0.0,95,32,0.4
2025/01/01,04:00,24.5,0.0,94,34.2,0.2
2025/01/01,05:00,24.3,0.0,95,S/D,0.0
2025/01/01,06:00,24.5,0.0,95,31,0.1
2025/01/01,07:00,25.2,0.0,93,.3,0.4
2025/01/01,08:00,25.9,0.0,91,35,0.8
2025/01/01,09:00,27.5,0.0,86,34,0.9
2025/01/01,10:00,29.4,0.0,80,33.4,0.5
2025/01/01,11:00,30.6,0.0,76,31.2,0.9
2025/01/01,12:00,31.4,0.0,72,31,0.2
2025/01/01,13:00,32.1,0.0,69,34.2,0.2
2025/01/01,14:00,33.0,0.0,65,35.7,0.1
2025/01/01,15:00,32.8,0.0,65,2.7,1.4
2025/01/01,16:00,27.7,0.1,80,32.9,2.4
2025/01/01,17:00,25.7,0.0,85,.7,1.1
2025/01/01,18:00,25.1,0.5,89,.2,0.6
2025/01/01,19:00,24.8,0.3,92,35.6,0.6
2025/01/01,20:00,24.4,0.0,92,27.5,0.4
2025/01/01,21:00,24.3,0.0,92,34.6,0.3
2025/01/01,22:00,24.5,0.0,92,20.2,0.6
2025/01/01,23:00,24.3,0.0,93,29.1,0.0
2025/01/02,00:00,24.2,0.0,94,23.8,0.7
2025/01/02,01:00,24.0,0.0,95,24,0.3
2025/01/02,02:00,23.9,0.0,95,S/D,0.0
2025/01/02,03:00,23.9,0.0,96,.5,0.1
2025/01/02,04:00,24.0,0.0,96,2.4,0.0
2025/01/02,05:00,24.0,0.0,96,1.9,0.1
2025/01/02,06:00,24.3,0.0,95,3.3,0.1
2025/01/02,07:00,24.7,0.0,94,3.3,1.1
2025/01/02,08:00,25.2,0.0,93,0,1.2
2025/01/02,09:00,26.6,0.0,88,35.6,1.2
2025/01/02,10:00,28.3,0.0,82,32.4,1.8
2025/01/02,11:00,29.0,0.0,80,33,1.5
2025/01/02,12:00,30.7,0.0,75,32.5,0.5
2025/01/02,13:00,31.4,0.0,72,31.7,1.0
2025/01/02,14:00,30.8,0.1,74,27.4,0.5
2025/01/02,15:00,30.9,0.1,74,2,0.0
2025/01/02,16:00,32.2,0.0,68,29.2,0.0
2025/01/02,17:00,31.8,0.0,68,34.3,0.1
2025/01/02,18:00,30.7,0.0,73,1.7,0.3
2025/01/02,19:00,29.5,0.0,78,.3,0.6
2025/01/02,20:00,28.2,0.0,82,1.7,0.1
2025/01/02,21:00,27.2,0.0,87,32.7,0.2
2025/01/02,22:00,26.7,0.0,90,31.3,0.5
2025/01/02,23:00,26.2,0.0,88,32.2,0.8
2025/01/03,00:00,26.0,0.0,88,31.4,1.0
2025/01/03,01:00,25.1,1.9,90,34.9,0.8
2025/01/03,02:00,24.8,1.3,93,5.1,0.8
2025/01/03,03:00,24.7,0.7,94,1,0.8
2025/01/03,04:00,24.6,0.0,95,35.8,1.1
2025/01/03,05:00,24.2,0.0,94,32.4,1.0
2025/01/03,06:00,24.2,0.1,95,27.8,0.4
2025/01/03,07:00,24.7,0.0,94,25.6,0.3
2025/01/03,08:00,25.6,0.0,90,25.9,1.1
2025/01/03,09:00,26.5,0.0,86,28.8,1.5
2025/01/03,10:00,27.5,0.0,82,29.3,1.5
2025/01/03,11:00,28.4,0.0,80,28.1,1.4
2025/01/03,12:00,29.4,0.0,77,31.2,0.9
2025/01/03,13:00,30.5,0.0,72,31.3,1.1
2025/01/03,14:00,31.6,0.0,68,32.6,1.9
2025/01/03,15:00,31.2,0.0,69,34.1,2.2
