Estación
                                : CACHUELA
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°36'15.92'',Longitud :,69°10'58.94'',Altitud :,195 msnm.
Tipo :,EHMA - Hidrológica,Código :,260403
AÑO / MES / DÍA,HORA,N
