Estación
                                : BILINGURSTH
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°33'38.97'',Longitud :,69°11'22.15'',Altitud :,198 msnm.
Tipo :,EHMA - Hidrológica,Código :,260700
2025/01/06,23:00,11.07,0.0
2025/01/07,00:00,11.06,0.0
2025/01/07,01:00,11.05,0.0
2025/01/07,02:00,11.05,0.0
2025/01/07,03:00,11.03,0.0
2025/01/07,04:00,11.03,0.0
2025/01/07,05:00,11.05,0.2
2025/01/07,06:00,11.08,0.0
2025/01/07,07:00,11.12,0.0
2025/01/07,08:00,11.15,0.0
2025/01/07,09:00,11.20,0.0
2025/01/07,10:00,11.23,0.0
2025/01/07,11:00,11.25,0.0
2025/01/07,12:00,11.29,0.0
2025/01/07,13:00,11.33,4.6
2025/01/07,14:00,11.36,0.0
2025/01/07,15:00,11.37,0.0
2025/01/07,16:00,S/D,2.6
2025/01/07,17:00,11.42,0.0
2025/01/07,18:00,11.44,0.8
2025/01/07,19:00,11.44,0.0
2025/01/07,20:00,11.42,0.0
2025/01/07,21:00,11.42,0.0
2025/01/07,22:00,11.42,0.0
2025/01/07,23:00,11.40,0.0
2025/01/08,00:00,11.40,0.2
2025/01/08,01:00,11.37,0.0
2025/01/08,02:00,11.35,0.0
2025/01/08,03:00,11.34,0.2
2025/01/08,04:00,11.30,0.0
2025/01/08,05:00,11.30,0.0
2025/01/08,06:00,11.28,0.0
2025/01/08,07:00,11.26,0.0
2025/01/08,08:00,11.25,0.0
2025/01/08,09:00,11.22,0.0
2025/01/08,10:00,11.22,0.0
2025/01/08,11:00,11.20,0.0
2025/01/08,12:00,11.19,0.0
2025/01/08,13:00,11.18,0.0
2025/01/08,14:00,S/D,2.8
2025/01/08,15:00,11.19,0.2
2025/01/08,16:00,11.19,0.6
2025/01/08,17:00,11.20,0.0
2025/01/08,18:00,11.23,0.0
2025/01/08,19:00,11.25,0.0
2025/01/08,20:00,11.29,0.0
2025/01/08,21:00,11.32,0.0
2025/01/08,22:00,11.38,0.0
2025/01/08,23:00,11.42,0.0
2025/01/09,00:00,11.50,0.0
2025/01/09,01:00,11.55,0.0
2025/01/09,02:00,11.62,0.0
2025/01/09,03:00,11.68,0.0
2025/01/09,04:00,11.73,0.6
2025/01/09,05:00,11.79,1.6
2025/01/09,06:00,11.86,5.2
2025/01/09,07:00,11.90,0.6
2025/01/09,08:00,11.94,0.0
2025/01/09,09:00,11.97,0.0
2025/01/09,10:00,12.00,0.0
2025/01/09,11:00,12.02,0.0
2025/01/09,12:00,12.05,0.0
2025/01/09,13:00,12.06,0.0
2025/01/09,14:00,12.05,0.0
2025/01/09,15:00,12.05,0.9
2025/01/09,16:00,12.05,0.0
2025/01/09,17:00,12.03,0.0
2025/01/09,18:00,12.03,0.0
2025/01/09,19:00,12.02,0.0
2025/01/09,20:00,12.01,0.0
2025/01/09,22:00,11.97,0.0
2025/01/09,23:00,11.97,1.2
2025/01/10,01:00,11.98,0.0
2025/01/10,02:00,12.02,0.2
2025/01/10,03:00,12.05,0.0
2025/01/10,04:00,12.09,0.0
2025/01/10,05:00,12.12,0.0
2025/01/10,06:00,12.15,0.0
2025/01/10,07:00,12.18,0.0
2025/01/10,08:00,12.20,0.0
2025/01/10,09:00,12.23,0.0
2025/01/10,10:00,12.25,0.0
2025/01/10,11:00,12.24,0.2
2025/01/10,12:00,12.25,0.0
2025/01/10,13:00,12.26,0.0
2025/01/10,14:00,12.26,0.0
2025/01/10,15:00,12.24,0.0
2025/01/10,16:00,S/D,6.5
2025/01/10,17:00,12.23,0.0
2025/01/10,18:00,12.24,0.0
2025/01/10,19:00,12.21,0.0
2025/01/10,20:00,12.21,0.0
2025/01/10,21:00,12.17,0.0
2025/01/10,22:00,12.16,0.0
2025/01/10,23:00,12.12,0.0
2025/01/11,00:00,12.09,0.0
2025/01/11,01:00,12.07,0.0
2025/01/11,02:00,12.03,0.0
2025/01/11,03:00,12.00,0.0
2025/01/11,04:00,11.95,0.0
2025/01/11,05:00,11.92,0.6
2025/01/11,06:00,11.89,0.2
2025/01/11,07:00,11.84,0.0
2025/01/11,08:00,11.82,0.0
2025/01/11,09:00,11.78,0.0
2025/01/11,10:00,11.76,0.0
2025/01/11,11:00,11.73,0.0
2025/01/11,12:00,11.72,0.0
2025/01/11,13:00,11.68,0.0
2025/01/11,14:00,11.66,0.0
2025/01/11,15:00,11.64,0.0
2025/01/11,16:00,11.64,0.0
2025/01/11,17:00,11.64,0.0
2025/01/11,18:00,11.60,0.0
2025/01/11,19:00,11.60,0.0
2025/01/11,20:00,11.58,0.0
2025/01/11,21:00,11.56,0.0
2025/01/11,22:00,11.56,0.0
2025/01/11,23:00,11.52,0.0
2025/01/12,00:00,11.51,0.0
2025/01/12,01:00,11.49,0.0
2025/01/12,02:00,11.45,0.0
2025/01/12,03:00,11.44,0.0
2025/01/12,04:00,11.42,0.0
2025/01/12,05:00,11.40,0.0
2025/01/12,06:00,11.37,0.0
2025/01/12,07:00,11.35,5.7
2025/01/12,08:00,11.37,11.4
2025/01/12,09:00,S/D,17.1
2025/01/12,10:00,11.35,4.0
2025/01/12,11:00,11.35,3.6
2025/01/12,12:00,11.34,0.3
2025/01/12,13:00,11.34,1.5
2025/01/12,14:00,11.36,0.0
2025/01/12,15:00,11.43,0.0
2025/01/12,16:00,11.53,0.0
2025/01/12,17:00,11.65,0.0
2025/01/12,18:00,11.79,0.0
2025/01/12,19:00,11.88,0.0
2025/01/12,20:00,11.95,0.0
2025/01/12,22:00,12.11,0.0
2025/01/12,23:00,12.19,0.0
2025/01/13,00:00,12.28,0.0
2025/01/13,01:00,12.33,0.0
2025/01/13,02:00,12.41,0.0
2025/01/13,03:00,12.46,0.0
2025/01/13,04:00,12.52,0.0
2025/01/13,05:00,12.57,0.0
2025/01/13,06:00,12.61,0.0
2025/01/13,07:00,12.66,0.0
2025/01/13,08:00,12.68,0.0
2025/01/13,09:00,12.69,0.0
2025/01/13,10:00,12.72,1.5
2025/01/13,11:00,12.74,3.0
2025/01/13,12:00,12.74,0.4
2025/01/13,13:00,12.73,0.0
2025/01/13,14:00,12.71,0.0
2025/01/13,15:00,12.71,0.0
2025/01/13,16:00,12.68,0.0
2025/01/13,17:00,12.64,0.6
2025/01/13,18:00,12.60,0.0
2025/01/13,19:00,12.56,0.0
2025/01/13,20:00,12.53,0.0
2025/01/13,22:00,12.45,0.0
2025/01/13,23:00,12.38,0.0
2025/01/14,00:00,12.32,0.0
2025/01/14,01:00,12.29,0.0
2025/01/14,02:00,S/D,1.6
2025/01/14,03:00,12.20,5.0
2025/01/14,04:00,12.14,0.4
2025/01/14,05:00,12.10,0.0
2025/01/14,06:00,12.05,0.0
2025/01/14,07:00,12.01,0.6
2025/01/14,08:00,S/D,0.2
2025/01/14,09:00,11.94,0.0
2025/01/14,10:00,S/D,0.2
2025/01/14,11:00,S/D,1.3
2025/01/14,12:00,S/D,0.0
2025/01/14,13:00,S/D,0.2
2025/01/14,14:00,S/D,0.0
2025/01/14,15:00,S/D,0.0
2025/01/14,16:00,S/D,0.0
2025/01/14,17:00,S/D,0.0
2025/01/14,18:00,S/D,0.0
2025/01/14,19:00,S/D,0.0
2025/01/14,20:00,S/D,
