Estación
                                : BILINGURSTH
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°33'38.97'',Longitud :,69°11'22.15'',Altitud :,198 msnm.
Tipo :,EHMA - Hidrológica,Código :,260700
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/01/01,00:00,8.17,0.0
2025/01/01,01:00,8.15,0.0
2025/01/01,02:00,8.13,0.0
2025/01/01,03:00,8.11,0.0
2025/01/01,04:00,8.10,0.0
2025/01/01,05:00,8.08,0.0
2025/01/01,06:00,8.07,0.0
2025/01/01,07:00,8.05,0.0
2025/01/01,08:00,8.02,0.0
2025/01/01,09:00,8.01,0.0
2025/01/01,10:00,7.99,0.0
2025/01/01,11:00,7.98,0.0
2025/01/01,12:00,7.95,0.0
2025/01/01,13:00,7.94,0.0
2025/01/01,14:00,7.92,0.0
2025/01/01,15:00,7.91,0.0
2025/01/01,16:00,7.89,0.0
2025/01/01,17:00,7.88,0.0
2025/01/01,18:00,7.87,0.4
2025/01/01,19:00,7.86,0.4
2025/01/01,20:00,7.84,0.0
2025/01/01,21:00,7.83,0.0
2025/01/01,22:00,7.81,0.0
2025/01/01,23:00,7.80,0.0
2025/01/02,00:00,7.78,0.0
2025/01/02,01:00,7.77,0.0
2025/01/02,02:00,7.76,0.0
2025/01/02,03:00,7.74,0.0
2025/01/02,04:00,7.73,0.0
2025/01/02,05:00,7.73,0.0
2025/01/02,06:00,7.72,0.0
2025/01/02,07:00,7.71,0.0
2025/01/02,08:00,7.71,0.0
2025/01/02,09:00,7.71,0.0
2025/01/02,10:00,7.70,0.0
2025/01/02,11:00,7.70,0.0
2025/01/02,12:00,7.69,0.0
2025/01/02,13:00,7.69,0.0
2025/01/02,14:00,7.68,0.0
2025/01/02,15:00,7.68,0.0
2025/01/02,16:00,7.67,0.0
2025/01/02,17:00,7.66,0.0
2025/01/02,18:00,7.65,0.0
2025/01/02,19:00,7.65,0.0
2025/01/02,21:00,7.65,0.0
2025/01/02,22:00,7.66,0.0
2025/01/02,23:00,7.68,0.0
2025/01/03,00:00,7.72,0.0
2025/01/03,01:00,7.76,1.0
2025/01/03,02:00,7.81,1.4
2025/01/03,03:00,7.85,0.2
2025/01/03,04:00,7.90,0.0
2025/01/03,05:00,7.94,0.0
2025/01/03,06:00,7.98,0.2
2025/01/03,07:00,8.01,0.2
2025/01/03,08:00,8.02,0.0
2025/01/03,09:00,8.05,0.0
2025/01/03,10:00,8.06,0.0
2025/01/03,11:00,8.06,0.0
2025/01/03,12:00,8.06,0.0
2025/01/03,13:00,8.05,0.0
2025/01/03,14:00,8.02,0.0
2025/01/03,15:00,8.01,0.0
2025/01/03,16:00,7.99,0.0
2025/01/03,17:00,7.98,0.0
2025/01/03,18:00,7.95,0.0
2025/01/03,19:00,7.93,0.0
2025/01/03,20:00,7.90,0.0
2025/01/03,21:00,7.87,0.0
2025/01/03,22:00,7.85,0.0
2025/01/03,23:00,7.83,0.0
2025/01/04,00:00,7.82,0.0
2025/01/04,01:00,7.81,0.0
2025/01/04,02:00,7.82,0.0
2025/01/04,03:00,7.83,0.0
2025/01/04,04:00,7.86,0.0
2025/01/04,05:00,7.91,0.0
2025/01/04,06:00,7.97,0.0
2025/01/04,07:00,8.05,0.0
2025/01/04,08:00,8.13,0.0
2025/01/04,09:00,8.22,0.0
2025/01/04,10:00,8.32,0.0
2025/01/04,11:00,8.41,0.0
2025/01/04,12:00,8.49,0.0
2025/01/04,13:00,8.57,0.0
2025/01/04,14:00,8.64,0.0
2025/01/04,15:00,8.69,5.1
2025/01/04,16:00,8.75,0.0
2025/01/04,17:00,8.77,0.0
2025/01/04,18:00,8.80,0.0
2025/01/04,19:00,8.81,0.0
2025/01/04,20:00,8.82,0.8
2025/01/04,21:00,8.82,1.3
2025/01/04,22:00,8.81,0.0
2025/01/04,23:00,8.80,0.4
2025/01/05,00:00,8.77,0.0
2025/01/05,01:00,8.76,2.6
2025/01/05,02:00,8.74,1.2
2025/01/05,03:00,8.74,14.9
2025/01/05,04:00,8.72,2.4
2025/01/05,05:00,8.69,1.2
2025/01/05,06:00,8.67,0.4
2025/01/05,07:00,8.65,0.2
2025/01/05,08:00,8.61,0.6
2025/01/05,09:00,8.60,0.6
2025/01/05,10:00,8.58,0.6
2025/01/05,11:00,8.56,0.0
2025/01/05,12:00,8.53,0.0
2025/01/05,13:00,8.52,0.0
2025/01/05,14:00,8.50,0.0
2025/01/05,15:00,8.49,0.0
2025/01/05,16:00,8.49,0.0
2025/01/05,17:00,8.50,0.0
2025/01/05,18:00,8.52,0.0
2025/01/05,19:00,8.53,0.0
2025/01/05,20:00,8.57,0.0
2025/01/05,21:00,8.60,0.0
2025/01/05,22:00,8.65,0.0
2025/01/05,23:00,8.72,1.3
2025/01/06,00:00,8.86,0.5
2025/01/06,01:00,9.08,0.4
2025/01/06,02:00,9.28,0.0
2025/01/06,03:00,9.49,0.4
2025/01/06,04:00,9.71,15.2
2025/01/06,05:00,9.92,1.7
2025/01/06,06:00,10.10,0.6
2025/01/06,07:00,10.25,0.2
2025/01/06,08:00,10.40,0.5
2025/01/06,09:00,10.54,18.0
2025/01/06,10:00,10.66,4.5
2025/01/06,11:00,10.77,2.0
2025/01/06,12:00,10.87,0.7
2025/01/06,13:00,10.94,1.2
2025/01/06,14:00,10.99,1.4
2025/01/06,15:00,11.03,0.0
2025/01/06,16:00,11.06,0.0
2025/01/06,17:00,11.09,0.0
2025/01/06,18:00,11.08,0.0
2025/01/06,19:00,11.10,0.0
2025/01/06,20:00,11.10,0.0
2025/01/06,21:00,11.10,0.0
