Estación
                                : BILINGURSTH
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°33'38.97'',Longitud :,69°11'22.15'',Altitud :,198 msnm.
Tipo :,EHMA - Hidrológica,Código :,260700
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/02/07,15:00,10.25,0.0
2025/02/07,16:00,10.24,0.0
2025/02/07,17:00,10.22,0.0
2025/02/07,18:00,10.19,0.0
2025/02/07,19:00,10.21,4.0
2025/02/07,20:00,10.19,0.2
2025/02/07,21:00,10.19,0.0
2025/02/07,22:00,10.19,0.0
2025/02/08,00:00,10.17,0.0
2025/02/08,01:00,10.16,0.0
2025/02/08,02:00,10.16,0.0
2025/02/08,03:00,10.15,0.0
2025/02/08,04:00,10.14,0.0
2025/02/08,05:00,10.13,0.0
2025/02/08,06:00,10.13,0.0
2025/02/08,07:00,10.11,0.0
2025/02/08,08:00,10.11,0.2
2025/02/08,09:00,10.10,0.2
2025/02/08,10:00,10.10,0.4
2025/02/08,11:00,10.10,0.0
2025/02/08,12:00,10.08,0.0
2025/02/08,13:00,10.07,0.0
2025/02/08,14:00,S/D,0.6
2025/02/08,15:00,10.06,14.7
2025/02/08,16:00,10.06,0.0
2025/02/08,17:00,10.05,0.0
2025/02/08,18:00,10.03,0.0
2025/02/08,19:00,10.05,0.0
2025/02/08,20:00,10.02,0.0
2025/02/08,21:00,10.02,0.0
2025/02/08,22:00,10.02,0.0
2025/02/08,23:00,10.00,0.0
2025/02/09,00:00,10.00,0.0
2025/02/09,01:00,9.99,0.0
2025/02/09,02:00,9.98,0.0
2025/02/09,03:00,9.97,0.0
2025/02/09,04:00,9.96,0.0
2025/02/09,05:00,9.94,0.0
2025/02/09,06:00,9.93,0.0
2025/02/09,07:00,9.92,4.5
2025/02/09,08:00,9.91,1.9
2025/02/09,09:00,9.88,1.4
2025/02/09,10:00,9.88,1.0
2025/02/09,11:00,9.86,0.0
2025/02/09,12:00,9.84,0.0
2025/02/09,13:00,9.82,0.2
2025/02/09,14:00,9.80,0.0
2025/02/09,15:00,9.77,0.0
2025/02/09,16:00,9.76,0.0
2025/02/09,17:00,9.75,0.0
2025/02/09,18:00,9.73,0.0
2025/02/09,19:00,9.73,0.0
2025/02/09,20:00,9.74,0.0
2025/02/09,21:00,9.77,0.0
2025/02/09,22:00,9.78,0.0
2025/02/09,23:00,9.84,0.0
2025/02/10,00:00,9.89,0.0
2025/02/10,01:00,9.94,0.0
2025/02/10,02:00,9.99,0.0
2025/02/10,03:00,10.02,0.0
2025/02/10,04:00,10.07,0.0
2025/02/10,05:00,10.10,0.0
2025/02/10,06:00,10.11,0.0
2025/02/10,07:00,10.11,0.0
2025/02/10,08:00,10.11,0.0
2025/02/10,09:00,10.11,0.0
2025/02/10,10:00,10.10,0.0
2025/02/10,11:00,10.07,0.0
2025/02/10,12:00,10.05,0.0
2025/02/10,13:00,10.02,0.0
2025/02/10,14:00,9.99,0.8
2025/02/10,15:00,9.96,1.9
2025/02/10,16:00,9.92,0.0
2025/02/10,17:00,9.89,0.0
2025/02/10,18:00,9.89,0.0
2025/02/10,19:00,9.85,0.0
2025/02/10,20:00,9.85,0.0
2025/02/10,22:00,9.86,0.0
2025/02/10,23:00,9.89,0.0
2025/02/11,00:00,9.92,0.0
2025/02/11,01:00,9.96,0.0
2025/02/11,02:00,9.99,0.0
2025/02/11,03:00,10.02,0.0
2025/02/11,04:00,10.06,0.0
2025/02/11,05:00,10.09,0.0
2025/02/11,06:00,10.13,0.0
2025/02/11,07:00,10.16,0.0
2025/02/11,08:00,10.18,0.0
2025/02/11,09:00,10.19,0.0
2025/02/11,12:00,10.22,0.0
2025/02/11,13:00,10.22,0.0
2025/02/11,14:00,10.22,10.5
2025/02/11,15:00,10.22,4.0
2025/02/11,16:00,S/D,0.4
2025/02/11,17:00,10.23,0.0
2025/02/11,18:00,10.23,0.0
2025/02/11,19:00,10.23,0.0
2025/02/11,20:00,10.22,0.0
2025/02/11,21:00,10.21,0.0
2025/02/11,22:00,10.21,0.0
2025/02/11,23:00,10.21,0.0
2025/02/12,00:00,10.22,0.0
2025/02/12,01:00,10.22,0.0
2025/02/12,02:00,10.23,0.0
2025/02/12,03:00,10.24,0.0
2025/02/12,04:00,10.26,0.0
2025/02/12,05:00,10.27,0.0
2025/02/12,06:00,10.30,0.0
2025/02/12,07:00,10.30,0.0
2025/02/12,08:00,10.34,0.8
2025/02/12,09:00,10.35,1.1
2025/02/12,10:00,10.35,0.0
2025/02/12,11:00,10.35,0.0
2025/02/12,12:00,10.35,0.0
2025/02/12,13:00,10.38,0.0
2025/02/12,14:00,10.36,3.3
2025/02/12,15:00,10.35,2.0
2025/02/12,16:00,10.37,0.9
2025/02/12,17:00,10.37,0.0
2025/02/12,18:00,10.36,0.0
2025/02/12,19:00,10.37,0.0
2025/02/12,20:00,10.36,0.0
2025/02/12,21:00,10.35,0.0
2025/02/12,22:00,10.35,0.0
2025/02/12,23:00,10.36,0.0
2025/02/13,01:00,10.36,0.0
2025/02/13,02:00,10.35,0.0
2025/02/13,03:00,10.35,0.0
2025/02/13,04:00,10.33,0.0
2025/02/13,05:00,10.34,0.0
2025/02/13,06:00,10.32,0.0
2025/02/13,08:00,10.30,0.0
2025/02/13,09:00,10.29,0.0
2025/02/13,10:00,10.28,0.0
2025/02/13,11:00,10.27,0.0
2025/02/13,12:00,10.25,0.0
2025/02/13,13:00,10.23,0.0
2025/02/13,14:00,10.22,0.0
2025/02/13,15:00,10.19,0.0
2025/02/13,16:00,10.19,0.0
2025/02/13,17:00,10.18,0.0
2025/02/13,18:00,10.16,0.0
2025/02/13,19:00,10.14,0.0
2025/02/13,20:00,10.14,0.0
2025/02/13,21:00,10.11,0.0
2025/02/13,22:00,10.11
