Estación
                                : AGUAYTIA
Departamento :,UCAYALI,Provincia :,PADRE ABAD,Distrito :,PADRE ABAD
Latitud :,9°2'32.11'',Longitud :,75°30'22.46'',Altitud :,316 msnm.
Tipo :,CO - Meteorológica,Código :,108028
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2021-03-01,29.8,23.5,91.9,24.3
2021-03-02,31.8,21.5,85.2,0.0
2021-03-03,33,22.5,85.5,0.0
2021-03-04,32,23,86.6,0.0
2021-03-05,33.8,22.8,84.7,10.8
2021-03-06,28.5,22.5,91.6,0.0
2021-03-07,29.2,23.2,91.6,0.0
2021-03-08,32.5,22,85.4,12.2
2021-03-09,29,23,89.4,35.1
2021-03-10,32.5,21.8,89.1,0.0
2021-03-11,32.6,21,86.0,0.0
2021-03-12,33.2,22,88.7,0.0
2021-03-13,28,22.2,91.2,6.0
2021-03-14,30.6,22.8,88.8,24.5
2021-03-15,32.8,21.8,85.9,0.0
2021-03-16,27.6,22.5,92.4,2.5
2021-03-17,31.6,23,89.4,10.0
2021-03-18,31.5,23.2,87.9,18.0
